filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
image-833.jpg,35624,"{}",1,0,"{""name"":""rect"",""x"":3,""y"":9,""width"":225,""height"":134}","{""object"":""velo""}"
image-834.jpg,36533,"{}",1,0,"{""name"":""rect"",""x"":130,""y"":61,""width"":120,""height"":194}","{""object"":""velo""}"
image-835.jpg,22731,"{}",2,0,"{""name"":""rect"",""x"":35,""y"":18,""width"":180,""height"":115}","{""object"":""velo""}"
image-835.jpg,22731,"{}",2,1,"{""name"":""rect"",""x"":44,""y"":136,""width"":177,""height"":117}","{""object"":""velo""}"
image-836.jpg,27937,"{}",2,0,"{""name"":""rect"",""x"":69,""y"":92,""width"":110,""height"":134}","{""object"":""velo""}"
image-836.jpg,27937,"{}",2,1,"{""name"":""rect"",""x"":162,""y"":107,""width"":66,""height"":86}","{""object"":""velo""}"
image-837.jpg,24620,"{}",2,0,"{""name"":""rect"",""x"":125,""y"":81,""width"":80,""height"":160}","{""object"":""velo""}"
image-837.jpg,24620,"{}",2,1,"{""name"":""rect"",""x"":26,""y"":56,""width"":69,""height"":138}","{""object"":""velo""}"
image-838.jpg,36533,"{}",1,0,"{""name"":""rect"",""x"":111,""y"":117,""width"":139,""height"":115}","{""object"":""velo""}"
image-839.jpg,26254,"{}",2,0,"{""name"":""rect"",""x"":132,""y"":86,""width"":79,""height"":126}","{""object"":""velo""}"
image-839.jpg,26254,"{}",2,1,"{""name"":""rect"",""x"":87,""y"":86,""width"":60,""height"":102}","{""object"":""velo""}"
image-840.jpg,35194,"{}",2,0,"{""name"":""rect"",""x"":1,""y"":28,""width"":192,""height"":219}","{""object"":""velo""}"
image-840.jpg,35194,"{}",2,1,"{""name"":""rect"",""x"":29,""y"":15,""width"":206,""height"":203}","{""object"":""velo""}"
image-841.jpg,30502,"{}",2,0,"{""name"":""rect"",""x"":0,""y"":56,""width"":198,""height"":179}","{""object"":""velo""}"
image-841.jpg,30502,"{}",2,1,"{""name"":""rect"",""x"":158,""y"":10,""width"":98,""height"":87}","{""object"":""velo""}"
image-842.JPG,37829,"{}",1,0,"{""name"":""rect"",""x"":122,""y"":17,""width"":73,""height"":148}","{""object"":""velo""}"
image-843.jpg,29473,"{}",1,0,"{""name"":""rect"",""x"":90,""y"":79,""width"":142,""height"":153}","{""object"":""velo""}"
image-844.jpg,40290,"{}",1,0,"{""name"":""rect"",""x"":32,""y"":72,""width"":140,""height"":169}","{""object"":""velo""}"
image-845.jpg,22662,"{}",1,0,"{""name"":""rect"",""x"":65,""y"":77,""width"":107,""height"":107}","{""object"":""velo_personne""}"
image-846.jpg,32604,"{}",1,0,"{""name"":""rect"",""x"":110,""y"":33,""width"":119,""height"":155}","{""object"":""velo""}"
image-847.jpg,30908,"{}",4,0,"{""name"":""rect"",""x"":5,""y"":30,""width"":156,""height"":175}","{""object"":""velo""}"
image-847.jpg,30908,"{}",4,1,"{""name"":""rect"",""x"":51,""y"":46,""width"":150,""height"":143}","{""object"":""velo""}"
image-847.jpg,30908,"{}",4,2,"{""name"":""rect"",""x"":140,""y"":60,""width"":83,""height"":114}","{""object"":""velo""}"
image-847.jpg,30908,"{}",4,3,"{""name"":""rect"",""x"":140,""y"":61,""width"":112,""height"":101}","{""object"":""velo""}"
image-848.jpg,33417,"{}",1,0,"{""name"":""rect"",""x"":113,""y"":31,""width"":142,""height"":143}","{""object"":""velo""}"
image-849.jpg,27965,"{}",2,0,"{""name"":""rect"",""x"":1,""y"":100,""width"":118,""height"":155}","{""object"":""velo""}"
image-849.jpg,27965,"{}",2,1,"{""name"":""rect"",""x"":86,""y"":87,""width"":169,""height"":148}","{""object"":""velo""}"
image-850.jpg,35518,"{}",3,0,"{""name"":""rect"",""x"":38,""y"":81,""width"":88,""height"":124}","{""object"":""velo""}"
image-850.jpg,35518,"{}",3,1,"{""name"":""rect"",""x"":114,""y"":89,""width"":87,""height"":109}","{""object"":""velo""}"
image-850.jpg,35518,"{}",3,2,"{""name"":""rect"",""x"":148,""y"":75,""width"":97,""height"":112}","{""object"":""velo""}"
image-851.jpg,27266,"{}",1,0,"{""name"":""rect"",""x"":1,""y"":86,""width"":240,""height"":152}","{""object"":""velo""}"
image-852.jpg,27323,"{}",3,0,"{""name"":""rect"",""x"":160,""y"":154,""width"":72,""height"":88}","{""object"":""velo""}"
image-852.jpg,27323,"{}",3,1,"{""name"":""rect"",""x"":113,""y"":148,""width"":82,""height"":93}","{""object"":""velo""}"
image-852.jpg,27323,"{}",3,2,"{""name"":""rect"",""x"":84,""y"":149,""width"":81,""height"":90}","{""object"":""velo""}"
image-853.jpg,31684,"{}",1,0,"{""name"":""rect"",""x"":111,""y"":38,""width"":131,""height"":217}","{""object"":""velo""}"
image-854.jpg,28641,"{}",2,0,"{""name"":""rect"",""x"":20,""y"":104,""width"":61,""height"":127}","{""object"":""velo""}"
image-854.jpg,28641,"{}",2,1,"{""name"":""rect"",""x"":127,""y"":94,""width"":79,""height"":108}","{""object"":""velo""}"
image-855.jpg,32747,"{}",1,0,"{""name"":""rect"",""x"":21,""y"":75,""width"":192,""height"":181}","{""object"":undefined}"
image-856.jpg,26492,"{}",2,0,"{""name"":""rect"",""x"":19,""y"":50,""width"":94,""height"":117}","{""object"":""velo""}"
image-856.jpg,26492,"{}",2,1,"{""name"":""rect"",""x"":139,""y"":43,""width"":115,""height"":142}","{""object"":""velo""}"
image-857.jpg,27491,"{}",1,0,"{""name"":""rect"",""x"":21,""y"":110,""width"":164,""height"":98}","{""object"":""velo""}"
image-858.jpg,50635,"{}",1,0,"{""name"":""rect"",""x"":9,""y"":135,""width"":169,""height"":85}","{""object"":""velo""}"
image-859.jpg,31013,"{}",1,0,"{""name"":""rect"",""x"":140,""y"":106,""width"":42,""height"":117}","{""object"":""velo_personne""}"
image-860.jpg,24169,"{}",1,0,"{""name"":""rect"",""x"":167,""y"":158,""width"":83,""height"":49}","{""object"":""velo""}"
image-861.jpg,31361,"{}",3,0,"{""name"":""rect"",""x"":19,""y"":163,""width"":75,""height"":53}","{""object"":""velo""}"
